case_type,query_index,query_path,query_pid,query_camera_id,true_path,true_pid,true_camera_id,true_visual_similarity,true_semantic_adjustment,true_effective_semantic_adjustment,true_quality_scale,true_final_score,false_path,false_pid,false_camera_id,false_visual_similarity,false_semantic_adjustment,false_effective_semantic_adjustment,false_quality_scale,false_final_score,true_minus_false_visual_gap
reachable_not_corrected,44,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0042_c6_f0048284.jpg,42,5,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0042_c2_f0063784.jpg,42,1,0.8280313014984131,0.5555555555555556,0.5555555555555556,0.760641088594257,0.8558090925216675,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0103_c6_f0048435.jpg,103,5,0.8438255786895752,0.4666666666666667,0.4666666666666667,0.7697135492745373,0.8671588897705078,-0.01579427719116211
reachable_not_corrected,62,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0049_c2_f0060033.jpg,49,1,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0049_c1_f0060269.jpg,49,0,0.785559356212616,0.6296296296296297,0.6296296296296297,0.8184017730807815,0.8170408606529236,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0347_c1_f0106937.jpg,347,0,0.7906404733657837,0.8518518518518519,0.8518518518518519,0.8242921478218501,0.8332330584526062,-0.005081117153167725
reachable_not_corrected,77,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0066_c1_f0063339.jpg,66,0,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0066_c6_f0041002.jpg,66,5,0.8125057220458984,0.13333333333333333,0.13333333333333333,0.7454254099478324,0.8191723823547363,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0410_c1_f0115536.jpg,410,0,0.8309195041656494,0.13333333333333333,0.13333333333333333,0.7454254099478324,0.8375861644744873,-0.018413782119750977
reachable_not_corrected,203,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0126_c5_f0088074.jpg,126,4,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0126_c2_f0081812.jpg,126,1,0.8605417013168335,0.6296296296296297,0.6296296296296297,0.7852425790863272,0.8920232057571411,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0125_c2_f0080251.jpg,125,1,0.8695172667503357,0.7777777777777778,0.7777777777777778,0.7354559867930265,0.908406138420105,-0.008975565433502197
reachable_not_corrected,218,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0135_c3_f0052337.jpg,135,2,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0135_c2_f0077657.jpg,135,1,0.8473322987556458,0.4074074074074074,0.4074074074074074,0.7694577050337821,0.8677026629447937,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0023_c3_f0034130.jpg,23,2,0.858444094657898,0.25925925925925924,0.25925925925925924,0.7694577050337821,0.8714070320129395,-0.011111795902252197
reachable_not_corrected,225,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0137_c5_f0087182.jpg,137,4,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0137_c1_f0077786.jpg,137,0,0.7877792716026306,-0.4,-0.4,0.7614394622544447,0.7677792906761169,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\6548_c8_f0104559.jpg,6548,7,0.8054971694946289,0.4666666666666667,0.4666666666666667,0.7614394622544447,0.8288304805755615,-0.01771789789199829
reachable_not_corrected,247,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0150_c3_f0057189.jpg,150,2,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0150_c2_f0081728.jpg,150,1,0.8197592496871948,0.26666666666666666,0.26666666666666666,0.7820171737008623,0.8330925703048706,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4099_c7_f0045970.jpg,4099,6,0.8377065658569336,0.8666666666666667,0.8666666666666667,0.810605553868744,0.8810399174690247,-0.01794731616973877
reachable_not_corrected,282,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0175_c2_f0090254.jpg,175,1,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0175_c1_f0085970.jpg,175,0,0.7597856521606445,0.7777777777777778,0.7777777777777778,0.7748089699465551,0.7986745238304138,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0632_c2_f0164873.jpg,632,1,0.7598459124565125,0.8666666666666667,0.8666666666666667,0.7835834842589167,0.8031792640686035,-6.026029586791992e-05
reachable_not_corrected,373,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0223_c2_f0093779.jpg,223,1,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0223_c4_f0063757.jpg,223,3,0.8044919967651367,-0.06666666666666667,-0.06666666666666667,0.7800009361571736,0.8011586666107178,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4118_c6_f0047084.jpg,4118,5,0.8227992653846741,0.3333333333333333,0.3333333333333333,0.7702945883811256,0.8394659161567688,-0.018307268619537354
reachable_not_corrected,383,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0235_c5_f0076499.jpg,235,4,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0235_c6_f0056110.jpg,235,5,0.8108129501342773,0.037037037037037035,0.037037037037037035,0.6954155342998327,0.812664806842804,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\6722_c8_f0150273.jpg,6722,7,0.8257397413253784,0.5333333333333333,0.5333333333333333,0.7926268547773361,0.85240638256073,-0.014926791191101074
